id,month_string
1,oct12
2,nov12
3,dec12
4,jan13
5,feb13
6,mar13
7,apr13
8,may13
9,jun13
10,jul13
11,aug13
12,sep13
13,oct13
14,nov13
15,dec13
16,jan14
17,feb14
18,mar14
19,apr14
20,may14
21,jun14
22,jul14
23,aug14
24,sep14
25,oct14
26,nov14
27,dec14
28,jan15
29,feb15
30,mar15
31,apr15
32,may15
33,jun15
34,jul15
35,aug15
36,sep15
37,oct15
38,nov15
39,dec15
40,jan16
41,feb16
42,mar16
43,apr16
44,may16
45,jun16
46,jul16
47,aug16
48,sep16
49,oct16
50,nov16
51,dec16
52,jan17
53,feb17
54,mar17
55,apr17
56,may17
57,jun17
58,jul17
59,aug17
60,sep17
61,oct17
62,nov17
63,dec17
64,jun18
65,dec18
66,jun19
67,dec19
68,jun20
69,dec20